id,header,years_from,years_to,release_year,aggregate_rating,num_figures,manufacturer,period_duration,mid_year,era,decade,years_since_release,nationality
2724,Zvezda Soviet Machine Gun Squad (6269),1943,1945,2020.0,,5.0,Zvezda,2,1944,Новейшее время,2020.0,6.0,German
2725,Zvezda German Panzergrenadiers (6270),1943,1945,2020.0,,5.0,Zvezda,2,1944,Новейшее время,2020.0,6.0,German
2726,Zvezda Soviet Assault Engineers (6271),1943,1945,2021.0,,4.0,Zvezda,2,1944,Новейшее время,2020.0,5.0,Russian
2727,"Zvezda Volkssturm, Berlin 1945 (6272)",1944,1945,2021.0,,5.0,Zvezda,1,1944,Новейшее время,2020.0,5.0,German
2728,Linear-A Trajan's Legions vs Dacians (Set 1) (032),80,110,2025.0,39.0,48.0,Linear-A,30,95,Древний мир,2020.0,1.0,Dacian
2728,Linear-A Trajan's Legions vs Dacians (Set 1) (032),80,110,2025.0,39.0,48.0,Linear-A,30,95,Древний мир,2020.0,1.0,Italian
2728,Linear-A Trajan's Legions vs Dacians (Set 1) (032),80,110,2025.0,39.0,48.0,Linear-A,30,95,Древний мир,2020.0,1.0,Romanian
2729,First To Fight Polish Uhlans Command on Horses 1939 (PL1939-072),1939,1939,2019.0,35.0,6.0,First To Fight,0,1939,Новейшее время,2010.0,7.0,Polish
2730,Strelets Confederate Infantry in Defence (249),1861,1865,2019.0,41.0,49.0,Strelets,4,1863,Новое время,2010.0,7.0,USA
2731,Strelets Highlanders 1899-1902 (M139),1900,1902,2020.0,43.0,52.0,Strelets,2,1901,Новейшее время,2020.0,6.0,British
2732,Mars Finnish Army (Winter Dress) 1942-1944 (72114),1942,1944,2019.0,32.0,37.0,Mars,2,1943,Новейшее время,2010.0,7.0,Finnish
2733,"Linear-A Vigiles Urbani ""Cohortes Vigilum"" (001s)",-25,250,2020.0,31.0,4.0,Linear-A,275,112,Древний мир,2020.0,6.0,Italian
2734,Linear-A Sacrifice Before the Battle (002s),-500,-300,2020.0,42.0,4.0,Linear-A,200,-400,Древний мир,2020.0,6.0,Greek
2735,Linear-A Legionary Recruits Training (003s),20,190,2020.0,40.0,4.0,Linear-A,170,105,Древний мир,2020.0,6.0,Italian
2736,Linear-A Waterloo After the Battle French Disaster (004s),1815,1815,2021.0,39.0,4.0,Linear-A,0,1815,Новое время,2020.0,5.0,French
2737,Linear-A Hittite King Muršili I with Royal Bodyguard (007s),-1620,-1590,2026.0,,5.0,Linear-A,30,-1605,Древний мир,2020.0,0.0,Hittite
2737,Linear-A Hittite King Muršili I with Royal Bodyguard (007s),-1620,-1590,2026.0,,5.0,Linear-A,30,-1605,Древний мир,2020.0,0.0,Turkish
2738,Linear-A Roman Artillery Set 2 - Onager (092),25,200,2024.0,30.0,8.0,Linear-A,175,112,Древний мир,2020.0,2.0,Italian
2739,Linear-A Roman Artillery Set 3 - Scorpio (009s),-200,200,2023.0,45.0,6.0,Linear-A,400,0,Древний мир,2020.0,3.0,Italian
2740,Linear-A Hannibal vs Scipio (010s),-215,-170,2023.0,43.0,4.0,Linear-A,45,-193,Древний мир,2020.0,3.0,Carthaginian
2740,Linear-A Hannibal vs Scipio (010s),-215,-170,2023.0,43.0,4.0,Linear-A,45,-193,Древний мир,2020.0,3.0,Italian
2741,Linear-A Waterloo After the Battle British Disaster (005s),1815,1815,2021.0,33.0,4.0,Linear-A,0,1815,Новое время,2020.0,5.0,British
2742,Strelets French Fusiliers (Early War) (236),1700,1715,2020.0,43.0,44.0,Strelets,15,1707,Новое время,2020.0,6.0,French
2743,Strelets British Infantry Firing Line 1701-1714 (232),1701,1714,2019.0,45.0,44.0,Strelets,13,1707,Новое время,2010.0,7.0,British
2745,Strelets Austrian Grenadiers Standing Shoulder Arms (204),1798,1815,2020.0,41.0,45.0,Strelets,17,1806,Новое время,2020.0,6.0,Austrian
2747,Strelets Bavarian Infantry at Ease (270),1805,1812,2020.0,47.0,44.0,Strelets,7,1808,Новое время,2020.0,6.0,Bavarian
2747,Strelets Bavarian Infantry at Ease (270),1805,1812,2020.0,47.0,44.0,Strelets,7,1808,Новое время,2020.0,6.0,German
2749,Linear-A Indus Culture (Set 1) (042),-2024,-1400,2024.0,44.0,40.0,Linear-A,624,-1712,Древний мир,2020.0,2.0,Harappan
2749,Linear-A Indus Culture (Set 1) (042),-2024,-1400,2024.0,44.0,40.0,Linear-A,624,-1712,Древний мир,2020.0,2.0,Indian
2749,Linear-A Indus Culture (Set 1) (042),-2024,-1400,2024.0,44.0,40.0,Linear-A,624,-1712,Древний мир,2020.0,2.0,Pakistani
2750,Strelets Bavarian Infantry in Attack (227),1808,1814,2020.0,41.0,48.0,Strelets,6,1811,Новое время,2020.0,6.0,Bavarian
2750,Strelets Bavarian Infantry in Attack (227),1808,1814,2020.0,41.0,48.0,Strelets,6,1811,Новое время,2020.0,6.0,German
2751,Strelets Prussian Uhlans (228),1808,1815,2020.0,46.0,15.0,Strelets,7,1811,Новое время,2020.0,6.0,German
2752,Strelets Prussian Dragoons (229),1808,1815,2020.0,44.0,15.0,Strelets,7,1811,Новое время,2020.0,6.0,German
2753,Strelets Finnish Anti-Tank Squad in Summer Dress (245),1939,1945,2020.0,40.0,28.0,Strelets,6,1942,Новейшее время,2020.0,6.0,Finnish
2754,Strelets Finnish Anti-Tank Squad in Winter Dress (246),1941,1942,2020.0,42.0,28.0,Strelets,1,1941,Новейшее время,2020.0,6.0,Finnish
2755,Strelets American Anti-Tank Squad (247),1945,1960,2020.0,45.0,28.0,Strelets,15,1952,Современность,2020.0,6.0,USA
2756,Linear-A Seleucid Infantry Phalanx Set 1 (033),-250,-170,2021.0,40.0,24.0,Linear-A,80,-210,Древний мир,2020.0,5.0,Persian
2756,Linear-A Seleucid Infantry Phalanx Set 1 (033),-250,-170,2021.0,40.0,24.0,Linear-A,80,-210,Древний мир,2020.0,5.0,Iraqi
2756,Linear-A Seleucid Infantry Phalanx Set 1 (033),-250,-170,2021.0,40.0,24.0,Linear-A,80,-210,Древний мир,2020.0,5.0,Seleucid
2756,Linear-A Seleucid Infantry Phalanx Set 1 (033),-250,-170,2021.0,40.0,24.0,Linear-A,80,-210,Древний мир,2020.0,5.0,Syrian
2757,Linear-A Ptolemaic Infantry Phalanx Set 1 (034),-230,-180,2021.0,41.0,24.0,Linear-A,50,-205,Древний мир,2020.0,5.0,Egyptian
2759,Linear-A Battle of Cunaxa Set 3 (Persian Cavalry) (036),-401,-401,2022.0,45.0,12.0,Linear-A,0,-401,Древний мир,2020.0,4.0,Persian
2760,RedBox Moscow Noble Cavalry (Siege of Pskov) Set 1 (72127),1560,1599,2020.0,41.0,12.0,RedBox,39,1579,Средневековье,2020.0,6.0,Russian
2761,RedBox Moscow Noble Cavalry (Siege of Pskov) Set 2 (72128),1501,1599,2020.0,41.0,12.0,RedBox,98,1550,Средневековье,2020.0,6.0,Russian
2762,RedBox Moscow Noble Cavalry (Siege of Kazan) Set 1 (72133),1501,1599,2020.0,41.0,12.0,RedBox,98,1550,Средневековье,2020.0,6.0,Russian
2763,RedBox Moscow Noble Cavalry (Siege of Kazan) Set 2 (72134),1501,1599,2020.0,43.0,12.0,RedBox,98,1550,Средневековье,2020.0,6.0,Russian
2764,RedBox Moscow Noble Cavalry (Battle of Orsha) Set 1 (72135),1501,1540,2020.0,42.0,12.0,RedBox,39,1520,Средневековье,2020.0,6.0,Russian
2765,RedBox Moscow Noble Cavalry (Battle of Orsha) Set 2 (72136),1501,1599,2020.0,41.0,12.0,RedBox,98,1550,Средневековье,2020.0,6.0,Russian
2766,Strelets French Musketeers Firing (234),1701,1708,2020.0,42.0,44.0,Strelets,7,1704,Новое время,2020.0,6.0,French
2767,Mars Russian Infantry (72115),1939,1945,2020.0,37.0,40.0,Mars,6,1942,Новейшее время,2020.0,6.0,Russian
2768,Linear-A The Victory of Waterloo (006s),1815,1815,2021.0,35.0,4.0,Linear-A,0,1815,Новое время,2020.0,5.0,British
2768,Linear-A The Victory of Waterloo (006s),1815,1815,2021.0,35.0,4.0,Linear-A,0,1815,Новое время,2020.0,5.0,German
2769,Linear-A Hannibal Crosses the Alps Set 5 (025),-250,-100,2021.0,43.0,48.0,Linear-A,150,-175,Древний мир,2020.0,5.0,Celtic
2769,Linear-A Hannibal Crosses the Alps Set 5 (025),-250,-100,2021.0,43.0,48.0,Linear-A,150,-175,Древний мир,2020.0,5.0,Italian
2770,Linear-A Napoleonic French Cavalry Disaster (027),1809,1815,2023.0,45.0,12.0,Linear-A,6,1812,Новое время,2020.0,3.0,British
2770,Linear-A Napoleonic French Cavalry Disaster (027),1809,1815,2023.0,45.0,12.0,Linear-A,6,1812,Новое время,2020.0,3.0,French
2772,Mars Russian Assault Troops (72116),1943,1945,2020.0,34.0,32.0,Mars,2,1944,Новейшее время,2020.0,6.0,Russian
2773,Strelets French Grenadiers (Early War) (235),1701,1713,2020.0,42.0,44.0,Strelets,12,1707,Новое время,2020.0,6.0,French
2774,Linear-A Roman Army under King Servius Tullius (038),-599,-501,2022.0,43.0,48.0,Linear-A,98,-550,Древний мир,2020.0,4.0,Italian
2775,Linear-A Emperor Justinian I and Imperatrix Theodora I (011s),527,565,2023.0,44.0,4.0,Linear-A,38,546,Средневековье,2020.0,3.0,Greek
2775,Linear-A Emperor Justinian I and Imperatrix Theodora I (011s),527,565,2023.0,44.0,4.0,Linear-A,38,546,Средневековье,2020.0,3.0,Italian
2776,Orion Ruff-Puffs (72053),1964,1975,2020.0,41.0,48.0,Orion,11,1969,Современность,2020.0,6.0,South Vietnamese
2776,Orion Ruff-Puffs (72053),1964,1975,2020.0,41.0,48.0,Orion,11,1969,Современность,2020.0,6.0,Vietnamese
2777,Strelets French Musketeers on the March (233),1701,1708,2020.0,39.0,44.0,Strelets,7,1704,Новое время,2020.0,6.0,French
2778,Orion ARVN Troops (Early War) (72051),1955,1968,2020.0,40.0,48.0,Orion,13,1961,Современность,2020.0,6.0,South Vietnamese
2778,Orion ARVN Troops (Early War) (72051),1955,1968,2020.0,40.0,48.0,Orion,13,1961,Современность,2020.0,6.0,Vietnamese
2779,Orion ARVN Troops (Late War) (72052),1969,1975,2020.0,39.0,43.0,Orion,6,1972,Современность,2020.0,6.0,South Vietnamese
2779,Orion ARVN Troops (Late War) (72052),1969,1975,2020.0,39.0,43.0,Orion,6,1972,Современность,2020.0,6.0,Vietnamese
2780,Orion British Tank Crew (Summer Dress) (72057),1942,1945,2020.0,46.0,48.0,Orion,3,1943,Новейшее время,2020.0,6.0,British
2781,Linear-A Eastern Roman Empire Infantry Set 1 (039),501,599,2023.0,39.0,48.0,Linear-A,98,550,Средневековье,2020.0,3.0,Greek
2781,Linear-A Eastern Roman Empire Infantry Set 1 (039),501,599,2023.0,39.0,48.0,Linear-A,98,550,Средневековье,2020.0,3.0,Italian
2781,Linear-A Eastern Roman Empire Infantry Set 1 (039),501,599,2023.0,39.0,48.0,Linear-A,98,550,Средневековье,2020.0,3.0,Turkish
2782,Linear-A Publius Quinctilius Varus 'Disaster' (012s),1,20,2023.0,37.0,4.0,Linear-A,19,10,Древний мир,2020.0,3.0,Italian
2783,Strelets Arabs in Skirmish (M142),1890,1935,2020.0,45.0,52.0,Strelets,45,1912,Новейшее время,2020.0,6.0,Arab
2783,Strelets Arabs in Skirmish (M142),1890,1935,2020.0,45.0,52.0,Strelets,45,1912,Новейшее время,2020.0,6.0,Iraqi
2783,Strelets Arabs in Skirmish (M142),1890,1935,2020.0,45.0,52.0,Strelets,45,1912,Новейшее время,2020.0,6.0,Syrian
2784,Mars German Volkssturm Defenders (72117),1944,1945,2020.0,43.0,40.0,Mars,1,1944,Новейшее время,2020.0,6.0,German
2785,Strelets British Cavalry (238),1701,1714,2020.0,48.0,12.0,Strelets,13,1707,Новое время,2020.0,6.0,British
2786,Strelets French Pikemen (237),1690,1699,2020.0,38.0,36.0,Strelets,9,1694,Новое время,2020.0,6.0,French
2787,Strelets French Infantry Summer Order Arms (222),1806,1814,2020.0,49.0,45.0,Strelets,8,1810,Новое время,2020.0,6.0,French
2788,Mars German Night Hunters (72118),1943,1945,2020.0,39.0,40.0,Mars,2,1944,Новейшее время,2020.0,6.0,German
2789,Mars German Paratroopers (Tropical Uniform) (72119),1943,1945,2020.0,41.0,40.0,Mars,2,1944,Новейшее время,2020.0,6.0,German
2790,HaT American Civil War Infantry Sampler (8333),1861,1865,2020.0,,33.0,HaT,4,1863,Новое время,2020.0,6.0,USA
2791,HaT Austrian Infantry Sampler (8338),1800,1814,2020.0,,33.0,HaT,14,1807,Новое время,2020.0,6.0,Austrian
2792,HaT Napoleonic British Cavalry Sampler (8340),1808,1813,2020.0,,16.0,HaT,5,1810,Новое время,2020.0,6.0,British
2793,Linear-A Roman Frontier Antonine Wall Garrison (013s),142,164,2026.0,44.0,5.0,Linear-A,22,153,Древний мир,2020.0,0.0,Italian
2794,Strelets Long Range Patrol at Rest (M143),1940,1943,2020.0,46.0,56.0,Strelets,3,1941,Новейшее время,2020.0,6.0,British
2795,First To Fight Field Cannon 75mm wz.1902/26 (PL1939-077),1926,1945,2020.0,,,First To Fight,19,1935,Новейшее время,2020.0,6.0,Polish
2796,Strelets French Guard Musketeers (242),1695,1750,2023.0,46.0,12.0,Strelets,55,1722,Новое время,2020.0,3.0,French
2797,Strelets Russian Infantry Standing Shoulder Arms (216),1812,1816,2020.0,49.0,44.0,Strelets,4,1814,Новое время,2020.0,6.0,Russian
2798,Strelets Bavarian Infantry Standing Order Arms (271),1808,1815,2020.0,44.0,44.0,Strelets,7,1811,Новое время,2020.0,6.0,Bavarian
2798,Strelets Bavarian Infantry Standing Order Arms (271),1808,1815,2020.0,44.0,44.0,Strelets,7,1811,Новое время,2020.0,6.0,German
2799,Strelets French Royal Horse Grenadiers (241),1701,1714,2021.0,48.0,12.0,Strelets,13,1707,Новое время,2020.0,5.0,French
2802,T-Model Middle East Military Man Set (TK7312),2000,2020,2021.0,38.0,25.0,T-Model,20,2010,Современность,2020.0,5.0,Afghan
2802,T-Model Middle East Military Man Set (TK7312),2000,2020,2021.0,38.0,25.0,T-Model,20,2010,Современность,2020.0,5.0,Iraqi
2802,T-Model Middle East Military Man Set (TK7312),2000,2020,2021.0,38.0,25.0,T-Model,20,2010,Современность,2020.0,5.0,Pakistani
2802,T-Model Middle East Military Man Set (TK7312),2000,2020,2021.0,38.0,25.0,T-Model,20,2010,Современность,2020.0,5.0,Syrian
2803,Mars US Paratroopers (72120),1942,1944,2020.0,41.0,40.0,Mars,2,1943,Новейшее время,2020.0,6.0,USA
2804,Strelets SAS Desert Ambush (M145),1941,1943,2020.0,44.0,60.0,Strelets,2,1942,Новейшее время,2020.0,6.0,British
2805,Strelets Africa Corps Mortar Squad (280),1941,1943,2020.0,44.0,44.0,Strelets,2,1942,Новейшее время,2020.0,6.0,German
2806,Strelets Long Range Desert Group (M144),1940,1943,2020.0,37.0,52.0,Strelets,3,1941,Новейшее время,2020.0,6.0,British
2807,RedBox Mounted Musketeers of the King of France (72146),1630,1690,2020.0,46.0,12.0,RedBox,60,1660,Новое время,2020.0,6.0,French
2808,RedBox Bonnie Prince Charlie and Scottish Cavalry (72149),1745,1746,2021.0,41.0,12.0,RedBox,1,1745,Новое время,2020.0,5.0,British
2809,Strelets Chevau-Légers and Gendarmes of the Guards (239),1700,1762,2020.0,47.0,12.0,Strelets,62,1731,Новое время,2020.0,6.0,French
2810,RedBox Mounted Guards of Cardinal Richelieu (72148),1626,1650,2020.0,46.0,12.0,RedBox,24,1638,Новое время,2020.0,6.0,French
2811,Linear-A The Army of Pyrrhus of Epirus (Set 2) (045),-299,-270,2021.0,41.0,48.0,Linear-A,29,-285,Древний мир,2020.0,5.0,Albanian
2811,Linear-A The Army of Pyrrhus of Epirus (Set 2) (045),-299,-270,2021.0,41.0,48.0,Linear-A,29,-285,Древний мир,2020.0,5.0,Epirote
2811,Linear-A The Army of Pyrrhus of Epirus (Set 2) (045),-299,-270,2021.0,41.0,48.0,Linear-A,29,-285,Древний мир,2020.0,5.0,Greek
2812,Linear-A Samnite Wars (2) Italian Ally Cavalry (046),-350,-250,2023.0,43.0,12.0,Linear-A,100,-300,Древний мир,2020.0,3.0,Italian
2813,Strelets Arabs in Retreat (M148),1900,1920,2020.0,41.0,56.0,Strelets,20,1910,Новейшее время,2020.0,6.0,Arab
2814,Strelets Bavarian Infantry on the March (272),1808,1815,2020.0,47.0,44.0,Strelets,7,1811,Новое время,2020.0,6.0,Bavarian
2814,Strelets Bavarian Infantry on the March (272),1808,1815,2020.0,47.0,44.0,Strelets,7,1811,Новое время,2020.0,6.0,German
2815,Strelets French Garde du Corps (240),1690,1760,2022.0,49.0,12.0,Strelets,70,1725,Новое время,2020.0,4.0,French
2816,Strelets Japanese Type 11 Gun (281),1931,1940,2020.0,40.0,36.0,Strelets,9,1935,Новейшее время,2020.0,6.0,Japanese
2817,Strelets Prussian 7th Uhlans (161),1815,1815,2020.0,45.0,14.0,Strelets,0,1815,Новое время,2020.0,6.0,German
2818,Strelets M1916 37mm Gun with French Foreign Legion Crew (291),1920,1938,2020.0,41.0,32.0,Strelets,18,1929,Новейшее время,2020.0,6.0,French
2819,Strelets French Foreign Legion in Camp (M146),1897,1910,2020.0,47.0,52.0,Strelets,13,1903,Новейшее время,2020.0,6.0,French
2820,Strelets French Foreign Legion in Attack (M147),1903,1913,2020.0,41.0,52.0,Strelets,10,1908,Новейшее время,2020.0,6.0,French
2823,Linear-A Seleucid Elephants vs Ptolemaic Elephants (049),-290,-170,2025.0,48.0,13.0,Linear-A,120,-230,Древний мир,2020.0,1.0,Egyptian
2823,Linear-A Seleucid Elephants vs Ptolemaic Elephants (049),-290,-170,2025.0,48.0,13.0,Linear-A,120,-230,Древний мир,2020.0,1.0,Seleucid
2824,Mars Eastern Mercenaries (72137),1630,1670,2023.0,30.0,18.0,Mars,40,1650,Новое время,2020.0,3.0,Russian
2824,Mars Eastern Mercenaries (72137),1630,1670,2023.0,30.0,18.0,Mars,40,1650,Новое время,2020.0,3.0,Tatar
2824,Mars Eastern Mercenaries (72137),1630,1670,2023.0,30.0,18.0,Mars,40,1650,Новое время,2020.0,3.0,Ukrainian
2826,RedBox British Dragoons 1745 (72139),1730,1750,2021.0,43.0,12.0,RedBox,20,1740,Новое время,2020.0,5.0,British
2827,RedBox British Regiments of Horse 1745 (72140),1727,1760,2021.0,46.0,12.0,RedBox,33,1743,Новое время,2020.0,5.0,British
2828,RedBox Prince's Lifeguard and Fitzjames Horse (72141),1745,1746,2021.0,46.0,12.0,RedBox,1,1745,Новое время,2020.0,5.0,British
2828,RedBox Prince's Lifeguard and Fitzjames Horse (72141),1745,1746,2021.0,46.0,12.0,RedBox,1,1745,Новое время,2020.0,5.0,French
2828,RedBox Prince's Lifeguard and Fitzjames Horse (72141),1745,1746,2021.0,46.0,12.0,RedBox,1,1745,Новое время,2020.0,5.0,Scottish
2829,Plastic Soldier Waffen-SS Grenadier Platoon 1944-45 (UMOS001),1944,1945,2020.0,44.0,35.0,Plastic Soldier,1,1944,Новейшее время,2020.0,6.0,German
2830,Orion German Panzer Soldiers 1939-40 (72058),1939,1940,2021.0,48.0,48.0,Orion,1,1939,Новейшее время,2020.0,5.0,German
2831,Orion Viet Cong (72059),1960,1975,2021.0,36.0,52.0,Orion,15,1967,Современность,2020.0,5.0,Vietnamese
2832,Orion North Vietnamese Army (72060),1954,1975,2021.0,40.0,52.0,Orion,21,1964,Современность,2020.0,5.0,Vietnamese
2833,Orion British Tank Crew (Winter Dress) (72061),1944,1975,2021.0,45.0,48.0,Orion,31,1959,Современность,2020.0,5.0,British
2834,Zvezda British Headquarters (6174),1939,1941,2021.0,,4.0,Zvezda,2,1940,Новейшее время,2020.0,5.0,British
2835,Zvezda American Infantry (6278),1943,1945,2021.0,,5.0,Zvezda,2,1944,Новейшее время,2020.0,5.0,USA
2836,Zvezda American Marines (6279),1942,1945,2021.0,,5.0,Zvezda,3,1943,Новейшее время,2020.0,5.0,USA
2837,Zvezda Soviet M-72 Motorcycle with Sidecar and Crew (6277),1941,1945,2021.0,,2.0,Zvezda,4,1943,Новейшее время,2020.0,5.0,Russian
2838,Strelets Vikings (250),900,1100,,,,Strelets,200,1000,Средневековье,,,Danish
2838,Strelets Vikings (250),900,1100,,,,Strelets,200,1000,Средневековье,,,Norwegian
2838,Strelets Vikings (250),900,1100,,,,Strelets,200,1000,Средневековье,,,Swedish
2838,Strelets Vikings (250),900,1100,,,,Strelets,200,1000,Средневековье,,,Viking
2839,Plastic Soldier British Eighth Army Platoon (UMOS002),1940,1944,2020.0,43.0,52.0,Plastic Soldier,4,1942,Новейшее время,2020.0,6.0,British
2840,Plastic Soldier Waffen-SS Grenadier 81mm Mortars (UMOS004),1941,1945,2020.0,41.0,4.0,Plastic Soldier,4,1943,Новейшее время,2020.0,6.0,German
2841,Plastic Soldier Waffen-SS Grenadier HMGs (UMOS005),1942,1945,2020.0,39.0,8.0,Plastic Soldier,3,1943,Новейшее время,2020.0,6.0,German
2842,Plastic Soldier Waffen-SS Grenadier Panzerschrecks (UMOS006),1943,1945,2020.0,38.0,4.0,Plastic Soldier,2,1944,Новейшее время,2020.0,6.0,German
2843,Mars German Paratroopers (Winter Uniform) (72121),1943,1945,2021.0,39.0,40.0,Mars,2,1944,Новейшее время,2020.0,5.0,German
2844,Plastic Soldier Afrika Korps Platoon (UMOS003),1941,1943,2021.0,43.0,46.0,Plastic Soldier,2,1942,Новейшее время,2020.0,5.0,German
2845,Orion Japanese Tank Crew WW2 (72067),1940,1945,2024.0,45.0,48.0,Orion,5,1942,Новейшее время,2020.0,2.0,Japanese
2846,Mars German Panzer Crew in Combat (72122),1939,1945,2021.0,39.0,40.0,Mars,6,1942,Новейшее время,2020.0,5.0,German
2847,Linear-A Ptolemaic Infantry Phalanx Set 2 (050),-220,-180,2023.0,43.0,32.0,Linear-A,40,-200,Древний мир,2020.0,3.0,Egyptian
2848,Strelets French Artillery (244),1701,1714,2021.0,41.0,10.0,Strelets,13,1707,Новое время,2020.0,5.0,French
2849,Strelets British Artillery (243),1701,1715,2021.0,38.0,10.0,Strelets,14,1708,Новое время,2020.0,5.0,British
2849,Strelets British Artillery (243),1701,1715,2021.0,38.0,10.0,Strelets,14,1708,Новое время,2020.0,5.0,Scottish
2850,Linear-A Army of Syracuse: Infantry (051),-415,-413,2022.0,44.0,48.0,Linear-A,2,-414,Древний мир,2020.0,4.0,Greek
2850,Linear-A Army of Syracuse: Infantry (051),-415,-413,2022.0,44.0,48.0,Linear-A,2,-414,Древний мир,2020.0,4.0,Italian
2852,Plastic Soldier US Marine Corps Platoon (UMOS007),1942,1945,2021.0,33.0,56.0,Plastic Soldier,3,1943,Новейшее время,2020.0,5.0,USA
2855,Strelets French Dragoons on the March (251),1690,1733,2021.0,46.0,12.0,Strelets,43,1711,Новое время,2020.0,5.0,French
2856,HaT Rome's Enemies (8266),-200,200,,,,HaT,400,0,Древний мир,,,Не указано
2857,Strelets Dismounted French Dragoons in Skirmish (254),1680,1733,2021.0,45.0,24.0,Strelets,53,1706,Новое время,2020.0,5.0,French
2858,Strelets French Dragoons in Attack (253),1690,1733,2021.0,41.0,12.0,Strelets,43,1711,Новое время,2020.0,5.0,French
2859,RedBox Ukrainian Registered Cossack Infantry (72142),1601,1699,2023.0,47.0,52.0,RedBox,98,1650,Новое время,2020.0,3.0,Cossack
2859,RedBox Ukrainian Registered Cossack Infantry (72142),1601,1699,2023.0,47.0,52.0,RedBox,98,1650,Новое время,2020.0,3.0,Ukrainian
2860,RedBox Ukrainian Zaporozhian Cossack Infantry (72143),1601,1699,2023.0,47.0,52.0,RedBox,98,1650,Новое время,2020.0,3.0,Ukrainian
2861,RedBox Ukrainian Peasant Infantry (72144),1601,1699,2023.0,46.0,53.0,RedBox,98,1650,Новое время,2020.0,3.0,Ukrainian
2862,RedBox Italian Arditi in Armor (72150),1915,1918,2023.0,42.0,40.0,RedBox,3,1916,Новейшее время,2020.0,3.0,Italian
2863,Strelets French Late War Dragoons in Reserve (252),1690,1755,2021.0,44.0,12.0,Strelets,65,1722,Новое время,2020.0,5.0,French
2864,Strelets DAK Desert Patrol (M081),1941,1943,2021.0,46.0,56.0,Strelets,2,1942,Новейшее время,2020.0,5.0,German
2865,Strelets Arabs in Ambush (M149),1900,1930,2021.0,44.0,52.0,Strelets,30,1915,Новейшее время,2020.0,5.0,Arab
2867,First To Fight Polish Horse Artillery (PL1939-084),1939,1939,2021.0,31.0,12.0,First To Fight,0,1939,Новейшее время,2020.0,5.0,Polish
2868,Strelets Austrian Infantry 1701-1714 on the March (260),1700,1714,2024.0,42.0,52.0,Strelets,14,1707,Новое время,2020.0,2.0,Austrian
2869,Italeri Desert Well and Tents (6148),1500,2000,2018.0,,,Italeri,500,1750,Новое время,2010.0,8.0,Не указано
2870,Strelets Dutch Cuirassiers (259),1707,1713,2023.0,46.0,12.0,Strelets,6,1710,Новое время,2020.0,3.0,Dutch
2871,Mars US Machine Gunners D-Day (72125),1943,1945,2021.0,46.0,32.0,Mars,2,1944,Новейшее время,2020.0,5.0,USA
2872,Mars US Rangers D-Day (72126),1944,1945,2021.0,41.0,40.0,Mars,1,1944,Новейшее время,2020.0,5.0,USA
2874,Strelets Italian Desert Patrol (M154),1935,1943,2021.0,46.0,52.0,Strelets,8,1939,Новейшее время,2020.0,5.0,Italian
2876,Linear-A Imperial Roman Centuriones (061),1,200,2024.0,50.0,40.0,Linear-A,199,100,Древний мир,2020.0,2.0,Italian
2877,Billy V Civil War Union & Confederate Infantry Set (680),1861,1865,,,,Billy V,4,1863,Новое время,,,Не указано
2878,Billy V Lewis & Clark + Indians (681),1800,1810,,,,Billy V,10,1805,Новое время,,,Не указано
2879,Billy V Battle of the Alamo (683),1837,1837,,,,Billy V,0,1837,Новое время,,,Не указано
2880,Billy V American Revolutionary War (684),1775,1785,,,,Billy V,10,1780,Новое время,,,Не указано
2881,Billy V Pilgrims & Eastern Indians (686),1600,1670,,,,Billy V,70,1635,Новое время,,,Не указано
2882,Billy V World War II Easy Company/German Troops (687),1943,1945,,,,Billy V,2,1944,Новейшее время,,,Не указано
2883,Billy V Korean War (688),1951,1953,,,,Billy V,2,1952,Современность,,,Не указано
2884,Billy V Civil War Union & Confederate Cavalry (689),1861,1865,,,,Billy V,4,1863,Новое время,,,Не указано
2885,Billy V Civil War Union & Confederate Artillery (690),1861,1865,,,,Billy V,4,1863,Новое время,,,Не указано
2886,MPC American Infantry (1-6020),1916,1918,1967.0,,48.0,MPC,2,1917,Новейшее время,1960.0,59.0,Не указано
2887,MPC Union Infantry (1-6004),1861,1865,1991.0,,50.0,MPC,4,1863,Новое время,1990.0,35.0,Не указано
2888,MPC German Infantry (1-6001),1935,1945,1974.0,,48.0,MPC,10,1940,Новейшее время,1970.0,52.0,Не указано
2889,MPC 8th Army 'Desert Rats' (1-6002),1939,1943,1974.0,,45.0,MPC,4,1941,Новейшее время,1970.0,52.0,Не указано
2890,MPC German Afrika Korps (1-6003),1940,1943,1962.0,,46.0,MPC,3,1941,Новейшее время,1960.0,64.0,Не указано
2891,MPC Confederate Infantry (1-6005),1861,1865,2000.0,,32.0,MPC,4,1863,Новое время,2000.0,26.0,Не указано
2892,MPC Artillery Batteries (1-6006),1861,1865,1962.0,,15.0,MPC,4,1863,Новое время,1960.0,64.0,Не указано
2893,MPC US Marines (1-6007),1942,1945,1975.0,,44.0,MPC,3,1943,Новейшее время,1970.0,51.0,Не указано
2894,MPC US Assault Troops (1-6013),1980,1981,1982.0,,48.0,MPC,1,1980,Современность,1980.0,44.0,Не указано
2895,MPC Soviet Infantry (1-6016),1980,1981,1982.0,,48.0,MPC,1,1980,Современность,1980.0,44.0,Не указано
