ID,Header,Years_from,Years_to
1726,Strelets From Narva to Poltava (904),1700,1709
1727,Pegasus California Gold Miners (7050),1849,1860
1728,Pegasus Farm Animals (7052),1600,2024
1729,Italeri Confederate Infantry (6178),1861,1865
1730,Italeri Anti Tank Teams (6131),1939,1945
1731,Strelets French Army Sledge Train 2 (134),1812,1813
1732,Italeri US Infantry (Winter Uniform) (6133),1941,1945
1733,Italeri German Paratroops (Tropical Uniform) (6134),1939,1945
1734,Italeri French Imperial Guard Artillery (6135),1804,1815
1735,Italeri Scots Infantry (6136),1800,1815
1736,Italeri Late Imperial Legion (6137),300,500
1737,Italeri Gothic Cavalry (6138),300,500
1738,HaT Austrian Ammunition Wagon (8225),1806,1814
1739,HaT Austrian Cavalry Artillery (8226),1806,1814
1740,HaT 1805 French Artillery (8229),1805,1805
1741,HaT 1806 Prussian Artillery (8230),1798,1806
1742,HaT Württemberg Artillery (8232),1810,1813
1743,HaT WWI British Heavy Weapons (8177),1916,1918
1744,HaT WWI ANZAC Heavy Weapons (8190),1914,1916
1745,HaT British Mortars (8227),1939,1945
1746,HaT WW2 British Machine Guns (8228),1939,1945
1747,Emhar Portuguese Infantry and Cazadores (7217),1806,1812
1748,HaT Zulu War British Infantry (8237),1879,1880
1749,RedBox Byzantine Light Cavalry Set 2 (72138),575,1400
1750,RedBox Byzantine Clibanarii Set 2 (72152),600,1300
1751,RedBox Byzantine Cataphracts Set 1 (72153),600,1400
1752,HaT Natal Native Contingent (8192),1878,1879
1753,HaT Austrian Landwehr (8233),1808,1815
1754,Strelets Spartacus Army Before Battle (M110),-75,-73
1755,Metch Roman Turtle and Wall (172015),30,150
1757,Valdemar Cuman Cavalry (VA112),1000,1290
1758,Metch Long Range Desert Patrol (172113),1940,1945
1759,Metch Kiev 1943 (172114),1943,1943
1760,Metch WW2 German Stug III F (172116),1940,1945
1761,Metch Artillery Train Gran Capitan (172167),1400,1500
1762,Metch WW2 German SDK Command (172117),1938,1945
1763,Metch Irak Insurgents (172201),2000,2015
1764,Pobeda KV-1 Russian Tank 76.2mm (72318),1939,1945
1765,Pobeda KV-2 Russian Tank 152mm (72330),1939,1945
1766,Pobeda WWI German Ambulance (72111),1914,1918
1767,Pobeda Scout US Car WWI (72112),1916,1918
1768,Pobeda Jewish Revolt - Masada (72113),70,80
1769,GerMan Ultramar Civil Guard (0009),1898,1925
1770,GerMan Siege of Barcelona Catalans (1000),1713,1714
1771,GerMan Army of Philip V (1010),1704,1714
1772,Ykreol The Nativity (YK07),1,1
1773,GerMan Hungarian Hussars and Artillery (1003),1713,1714
1774,GerMan Catalan Cavalry (1004),1713,1714
1775,RedBox English Sailors in Battle 16-17th Century (72082),1501,1599
1776,GerMan Battle of Almenar British Army (1020),1710,1710
1777,GerMan Battle of Talamanca Catalan Army (1022),1714,1714
1778,Strelets IJA Infantry in Defence (M115),1938,1945
1779,GerMan Bourbon Artillery and Staff (1011),1714,1714
1780,GerMan Cavalry of Phillip V Dragoons of Marimon (1012),1702,1714
1781,RedBox English Sailors Artillery 16-17th Century (72083),1501,1599
1782,GerMan Castell de Montjuic (1023),1710,1710
1783,Zvezda German Airforce Ground Crew (6188),1939,1945
1784,HaT Schutztruppe (8270),1908,1918
1785,HaT Askari (8268),1914,1918
1786,HaT Ruga-Ruga (8269),1880,1918
1787,Ultima Ratio Carthaginian Army: Hannibal's Veterans (UR019),-217,-200
1788,Waterloo 1815 Prussian Hussars of Frederick the Great (052),1750,1765
1789,Valdemar Catapult with Crew (VA123),1100,1300
1790,"LW Swiss Infantry, Burgundian Wars (2005)",1470,1490
1791,Valdemar Pilgrims (VA124),1000,1300
1792,Valdemar Musicians (VA125),1200,1400
1793,Strelets The Last Assault on Sevastopol (906),1855,1855
1794,Strelets Roman Extra Heavy Infantry (M042),100,100
1795,Strelets Norman Army Before Battle (M043),1000,1100
1796,Strelets Red Army in Winter Dress (M044),1918,1923
1797,Strelets Red Army in Summer Dress (M045),1918,1923
1798,Strelets Russian Army in Winter Dress (M046),1877,1878
1799,Strelets Russian Army in Summer Dress (M047),1877,1878
1800,Strelets Medieval Russian Militia (M048),1000,1250
1801,Strelets Praetorian Cohort (M049),25,190
1802,Strelets Anglo-Saxons Before Battle (M050),900,1066
1803,Ykreol French Line Infantry 1815 (YK01),1815,1815
1804,Ykreol French Empire Grenadiers (YK02),1804,1815
1805,Ykreol Portuguese Infantry of the Empire (YK03),1808,1812
1806,Ykreol British Line Infantry 1815 (YK04),1813,1815
1807,Caesar WWII German Paratroopers (H068),1939,1945
1808,HaT French Light Infantry Chasseurs (Action) (8251),1808,1812
1809,HaT French Light Infantry Chasseurs (Command) (8252),1806,1812
1810,HaT Taaishi Camelry (8250),1850,1899
1811,HaT WWI Italian Artillery Crew (8259),1915,1918
1812,Italeri German Infantry (Winter Uniform) (6151),1942,1945
1813,HaT Napoleonic Spanish Grenadiers (8301),1806,1809
1814,HaT Prussian Landwehr Marching (8309),1813,1815
1815,First To Fight Polish Uhlans Dismounted (PL1939-066),1936,1939
1816,Orion Rus Foot Knights (Druzhina) (72031),1000,1300
1817,Orion Kievan Rus Infantry (72032),1000,1400
1818,Ykreol Project R.F.Z. (Set 2) (YK06),1945,1945
1819,Mars Imperial Army (72032),1618,1648
1820,Zvezda Scythian Cavalry (8069),-600,-300
1821,Mars Saxon Infantry (72035),1700,1721
1822,Strelets Dacian Heavy Infantry (M021(2)),50,150
1823,Strelets Dacian Light Infantry (M022(2)),100,100
1824,Strelets WWII New Zealand Troops (M111),1940,1945
1825,Strelets WWII US Navy with Anti-Aircraft Machine-Gun (M112),1936,1942
1826,Airfix WWII British Infantry (01763),1944,1945
1827,Caesar WWII German Army with Field Greatcoat (H069),1939,1945
1828,Mars Scots Mercenaries (72034),1618,1648
1829,HaT El Cid Andalusian Heavy Cavalry (8215),1100,1100
1830,HaT El Cid Almoravid Light Cavalry (8246),1000,1090
1831,HaT El Cid Almoravid Heavy Cavalry (8247),1000,1100
1832,HaT El Cid Spanish Command (8248),1000,1100
1833,HaT El Cid Moorish Command (8249),1000,1100
1834,HaT WW2 German Tank Riders (8262),1935,1945
1835,HaT WW2 Russian Tank Riders (8263),1940,1944
1836,HaT WW2 British Tank Riders (8264),1939,1945
1837,HaT WW2 American Tank Riders (8265),1941,1945
1838,HaT WWI German Field Wagon (8260),1914,1918
1840,Valdemar Medieval Highwaymen (VA129),1300,1500
1841,HaT Napoleonic British Light Dragoons (8307),1800,1814
1842,Strelets French Army Sledge Train 1 (133),1812,1813
1843,Strelets Roman Transport 3 (131),-100,200
1844,Plastic Soldier British 6-pdr Anti-Tank Gun and Loyd Carrier Tow (WW2G20004),1941,1945
1845,Waterloo 1815 US 7th Cavalry (050),1866,1875
1846,Waterloo 1815 Apache Warriors (051),1870,1870
1847,Strelets Roman Transport 4 (132),-100,300
1848,Zvezda Spartans (8068),-520,-475
1850,Zvezda Dragoons of Peter I (8072),1701,1721
1851,Zvezda Mongols - Golden Horde (8076),1240,1400
1852,Zvezda Black Hussars of Frederick the Great (8079),1741,1780
1853,Zvezda Russian Infantry of World War I (8082),1914,1916
1854,Zvezda German Infantry of World War I (8083),1914,1916
1855,Plastic Soldier Russian Infantry in Summer Uniform (WW2020001),1941,1945
1856,Plastic Soldier Late War German Infantry 1943-45 (WW2020003),1943,1945
1857,Plastic Soldier Late War British Infantry 1944-45 (WW2020002),1944,1945
1858,Plastic Soldier Russian Infantry Heavy Weapons (WW2020004),1941,1945
1859,Plastic Soldier Late War German Infantry Heavy Weapons (WW2020005),1943,1945
1860,"RedBox European Light Cavalry, 16th Century Set 1 (72084)",1501,1599
1861,RedBox Policemen and Citizens (72037),1920,1935
1862,Strelets Praetorians' Ceremonial March (M109),40,130
1863,Valdemar Medieval Guards Resting (VA126),1150,1300
1864,Valdemar Medieval Guards on Duty (VA127),1150,1290
1865,Ykreol Roman Nobleman's Chariot (YK08),100,100
1866,Ykreol Samnite Infantry (YK09),-350,-350
1867,Ykreol Spanish Infantry 1808 (YK10),1808,1808
1868,HaT WWI British QF 4.5 Inch Howitzer (8243),1914,1918
1869,HaT 10cm Feldhaubitze M.14 (8245),1914,1918
1870,HaT Prussian Infantry Marching (8253),1810,1815
1871,HaT Prussian Infantry Action (8254),1810,1815
1872,HaT Prussian Infantry Command (8255),1810,1815
1873,HaT WWI British Artillery Crew (8256),1916,1918
1874,HaT WWI Russian Artillery Crew (8257),1914,1918
1875,HaT WWI Austrian Artillery Crew (8258),1914,1918
1876,Strelets Russian Dragoons (107),1877,1877
1877,Strelets Russian Hussars (108),1877,1877
1878,Strelets Bashi-Bazouks (109),1850,1890
1879,Strelets Turkish Regular Cavalry (110),1877,1877
1880,Strelets Turkish Artillery (111),1877,1878
1881,Strelets Russian Field Artillery (Summer Uniform) (112),1877,1878
1882,Strelets Turkish Army (M052),1853,1855
1883,Strelets Sardinians (M053),1855,1856
1884,Strelets British Cavalry (Late War) (114),1916,1918
1885,Valdemar Medieval Inquisition (VA130),1150,1500
1886,Caesar WWII German Afrika Korps (H070),1941,1943
1887,Caesar WWII US Infantry Set 2 (H071),1944,1945
1888,Caesar WWII Italian Infantry (H072),1940,1943
1889,Caesar WWII British Commandos (H073),1940,1945
1890,Orion Cumans (Polovets) and Pechenegs (72034),800,1250
1891,Orion Iberian Infantry (72035),-500,-130
1892,Orion Rus Mounted Knights (72033),1000,1299
1893,Orion Soviet Tankmen and Crew (Summer Dress) (72036),1943,1945
1894,Metch Lord Lovat's Commandos (172144),1944,1944
1895,GerMan Armed Civilians and Porch (1002),1714,1714
1896,Mars Swedish Heavy Cavalry (72036),1618,1648
1897,Mars Imperial Mounted Arquebusiers (72037),1618,1648
1898,Mars Imperial Siege Artillery (72038),1618,1648
1899,Mars French Infantry and Guard (72039),1635,1648
1900,BUM Schneider Gun (5035),1936,1939
1901,LW French Musketeers (2027),1600,1660
1902,Valdemar Medieval Repentance (VA131),1120,1500
1903,Valdemar Medieval Organ and Crew (VA132),900,1500
1904,HaT WWI Belgian Carabinier Bicyclists (8275),1914,1915
1905,HaT Sassanid Light Infantry (8267),224,651
1906,HaT WW2 Japanese Bicycle Infantry (8278),1937,1945
1907,Strelets Russian Mountain Artillery (Winter Uniform) (113),1877,1878
1908,Strelets German Stormtroops (M055),1916,1918
1909,Strelets British Infantry in Gasmasks (M056),1916,1918
1910,Strelets French Infantry in Gas Masks (M057),1916,1918
1911,Strelets Russian Infantry in Gas Masks (M058),1916,1918
1912,Strelets Austro-Hungarian Infantry in Gas Masks (M059),1916,1918
1913,Strelets German Infantry in Gas Masks (M060),1916,1918
1914,Valdemar Medieval Hunting Party (VA111),1100,1450
1915,Valdemar Medieval Smithy (VA133),1000,1400
1916,Waterloo 1815 Italian Cavalry (001),1940,1945
1917,"Strelets Turkish Infantry, Winter Uniform (M066)",1877,1878
1918,Orion Soviet Quad Maxim AA MG and Crew (72037),1941,1945
1919,Orion Soviet DShK AA MG and Crew (72038),1941,1945
1920,Orion Hussite War Wagon and Command (72039),1412,1436
1921,RedBox Hussite Artillery (72038),1419,1436
1922,RedBox Hussite Infantry (72039),1419,1440
1923,Strelets British Siege Artillery (062),1854,1855
1924,Strelets French Field Artillery (065),1854,1855
1925,Metch Bunker Command and German Generals (172124),1940,1945
1926,Strelets Roman Transport (2) (117),-50,200
1927,Strelets Romanian Infantry (M061),1941,1945
1928,Strelets Finnish Army 1939-42 (M062),1939,1942
1929,"Ykreol Division ""Handschar"" - Yugoslavia 1943 (YK12)",1941,1945
1930,Zvezda German Infantry 1939-42 (6105),1939,1942
1931,Zvezda German Machinegun MG-34 with Crew (6106),1939,1942
1932,Zvezda Soviet Infantry 1941-43 (6103),1941,1943
1933,Zvezda Soviet Maxim Machinegun With Crew (6104),1941,1945
1934,"Metch Arnhem, Too Far (172145)",1944,1944
1935,Strelets British Regiment of Horse (Late War) (255),1707,1714
1936,HaT Putilov 76mm M1902 Gun (8173),1902,1940
1937,HaT WWI British Cavalry (8272),1914,1916
1938,HaT WWI French Cavalry (8273),1915,1918
1939,HaT WWI Turkish Cavalry (8274),1914,1918
1940,Waterloo 1815 American 75mm Mountain Gun (038),1941,1945
1941,Preiser Modern US Army Seated Drivers & Soldiers (16564),1990,2003
1942,Preiser Modern US Army Tank Crew (16567),1990,2010
1943,Preiser Soviet Marine Light Infantry (16569),1941,1945
1944,Preiser German Field Wagon (16570),1935,1945
1945,Preiser German Zundapp Motorcycles and Riders At Attention (16571),1939,1945
1946,First To Fight German Command (PL1939-018),1939,1940
1947,Preiser German Riflemen Lined Up (16573),1939,1945
1948,Preiser German Zundapp Motorcycles with Riders (16575),1939,1945
1949,Preiser German Small Arms Ammunition Carts (16576),1939,1945
1950,Preiser Russian Prisoners of War (16577),1941,1945
1951,Preiser German Prisoners of War (16578),1941,1945
1952,Preiser Zundapp Motorcycles with Crews Pushing (16580),1939,1945
1953,Preiser German Riflemen with Mortar & Horse Lined Up (16585),1939,1945
1954,Preiser German Horse Drawn Field Wagon Erfa (16588),1939,1945
1955,Toxso Modern US Soldiers (1404),2005,2014
1956,Preiser PaK L/45 with Crew (16591),1936,1942
1957,Preiser Riflemen in Winter Uniform with Carts (16592),1939,1945
1958,Preiser East German Guard Battalion (16593),1956,1990
1959,Preiser Field Kitchen (16594),1939,1945
1960,Preiser Bicycle Unit Cycling and Walking (16596),1939,1945
1961,Preiser German Standing Draught Horses (16597),1939,1945
1962,Toxso M102 105mm Howitzer (1402),2000,2006
1963,Preiser Soviet Attacking Infantrymen in Winter Uniform (16600),1941,1945
1964,Preiser East German Frontier Guards (16601),1956,1990
1965,Toxso 10.5 cm s.K.18 (1407),1939,1945
1966,Preiser German Infantry Attacking in Winter Uniform (16604),1939,1945
1967,Preiser Soviet & German Infantry Close Combat Winter (16605),1941,1945
1969,RedBox Swiss Artillery (72065),1490,1600
1970,RedBox Russian Artillery (72071),1501,1599
1971,RedBox Russian Artillery (72072),1601,1699
1972,RedBox Battlefield Accessory Set (72073),1501,1699
1974,"Caesar European Knights, 15th Century (H091)",1401,1499
1975,Caesar Panzergrenadiers (Kharkov 1943) (HB01),1943,1943
1976,Caesar WWII Panzergrenadiers (Ardennes 1944) (HB02),1944,1945
1977,Caesar WWII German Panzer Crews (HB03),1939,1945
1978,LW German Knights (2026),1400,1480
1979,Preiser German Military Motorists (18366),2000,2000
1980,Zvezda Soviet Engineers 1941-42 (6108),1941,1942
1981,Zvezda German Sturmpioniere 1939-42 (6110),1939,1942
1982,Zvezda Soviet Anti-Tank Team (6135),1941,1945
1983,Zvezda German Paratroops (6136),1939,1942
1984,Zvezda Soviet Reconnaissance Team (6137),1941,1945
1985,Zvezda Soviet Paratroopers (6138),1941,1945
1986,Zvezda Soviet Naval Infantry (6146),1941,1945
1987,Zvezda German Reconnaissance Team (6153),1939,1942
1988,Zvezda German Gebirgsjäger (6154),1939,1945
1989,Zvezda Soviet Cavalry (6161),1935,1943
1990,Zvezda Ashigaru-yari (6401),1550,1650
1991,Zvezda Ashigaru with Arquebus (6402),1550,1650
1992,Zvezda Samurai-Naginata (6403),1400,1600
1993,Zvezda Samurai Archers (6404),1400,1600
1994,Zvezda Samurai with Nodachi (6405),1400,1600
1995,Zvezda Ninja (6406),1400,1600
1996,Zvezda Mounted Samurai (6407),1550,1650
1997,Strelets Ural Cossacks (064),1854,1855
1998,Strelets Roman Imperial Legion (Ceremonial March) (M101),-30,200
1999,Strelets Republican Roman Legion (Ceremonial March) (M102),-180,-30
2000,Zvezda Samurai Commanders (6411),1400,1600
2002,Zvezda French Napoleonic HQ Staff (8080),1805,1814
2003,Mars Imperial Light Infantry (72043),1618,1648
2004,Orion Soviet Artillery Crew (72041),1939,1945
2007,Valdemar Medieval Grieving Persons (VA136),500,1500
2008,Valdemar Medieval Mobile Bakery (VA134),500,1500
2009,Valdemar Medieval Civilians/Ship Crew Set 2 (VA135),500,1500
2010,RedBox Mounted Men at Arms (72045),1455,1485
2011,Revell British Infantry WWII (02597),1939,1945
2012,Revell German Infantry WWII (02598),1941,1945
2013,Ykreol Wellington's Staff (YK13),1800,1815
2014,HaT WWI Highlanders (8235),1916,1918
2015,HaT WWI Indian Infantry (8236),1914,1918
2016,HaT Dervish Warriors (8271),1882,1905
2017,Valiant German IF8 Infantry Cart (VM005),1939,1945
2018,Mars Swedish Mercenary Dragoons (72040),1620,1635
2019,Mars Imperial Heavy Cavalry (72041),1618,1625
2020,Mars Teutonic Knights (72050),1400,1450
2021,Mars Polish Knights (72051),1400,1450
2022,Revell American Infantry WWII (02599),1941,1945
2023,Strelets 6-Inch Mk VII Cannon with British Crew (A001),1916,1918
2024,Strelets 8 Inch Mk VII Howitzer (A002),1917,1918
2025,Strelets 8 Inch Mk II Howitzer with Early British Crew (A003),1914,1918
2026,Strelets 6 Inch Mk XIX Cannon (A004),1939,1945
2027,Orion Modern Israeli Army (Set 2) (72040),1975,2000
2028,RedBox Men-at-Arms and Retinue (72040),1455,1485
2030,Caesar WWII German Cavalry Division (H092),1942,1945
2031,Caesar Modern US Soldiers in Action (Set 2) (H094),2005,2015
2032,Caesar WWII German Command Staff with Kübelwagen (H095),1939,1945
2033,Caesar WWII German Sd.Kfz.2 Kettenkrad & Raketenwerfer 43 (H096),1939,1945
2034,Caesar Modern US Soldiers in Action (HB11),2003,2014
2035,Strelets Polish Troops in Attack (144),1807,1814
2036,Strelets WWI French Field Kitchen (292),1915,1918
2037,Strelets Russian Hussars in Reserve (276),1812,1816
2038,Strelets British Infantry Firing Line (278),1812,1816
2039,Strelets British Dragoons (256),1700,1714
2040,Caesar Sportsmen Set I (HB20-1),2010,2010
2041,Linear-A Neo-Assyrian Empire Infantry Set 1 (056),-850,-550
2045,Waterloo 1815 WWII German Cavalry (Set 1) (025),1939,1945
2046,Waterloo 1815 WWII US Mountain Troops (031),1942,1945
2047,Waterloo 1815 Roger's Rangers (035),1757,1763
2048,Waterloo 1815 British Paratroopers with Pack Howitzer (036),1942,1945
2049,"Waterloo 1815 Italian Tank, Vehicle and Artillery Crews (037)",1940,1943
2050,GerMan King's Musketeers (0012),1610,1650
2051,GerMan Cardinal Richelieu (0013),1622,1642
2052,BUM Roger's Rangers (2001),1755,1763
2053,BUM Whaleboat Rangers (2002),1756,1763
2054,BUM Rangers and Canoes (2003),1756,1763
2055,BUM Cabin Attack (2004),1756,1763
2056,BUM Ambush! (2005),1756,1763
2057,BUM Massacre! (2006),1756,1763
2058,BUM Huron Hut (2007),1756,1763
2059,BUM Huron's Camp (2011),1756,1763
2060,Ultima Ratio WWII Soviet & Polish Infantry (UR003),1943,1945
2061,BUM Bedroom Fort-West (2114),1865,1895
2062,BUM French Bombard (2025),1756,1763
2063,BUM Forge Fort-West (2115),1865,1895
2064,HaT WWII French Artillery Crew (8162),1939,1940
2065,Metch Japan Chi-Ro Tank Type 89 (172130),1941,1945
2066,Metch Japanese Armoured Car Sumida (172131),1933,1945
2067,Metch Japanese Artillery Tractor HO-FU (172132),1937,1945
2068,Metch Japanese CHI-HE Tank (172133),1943,1945
2069,Metch Japanese Isuzu Truck (172134),1935,1945
2070,Metch Iwo-Jima Defences (172136),1944,1945
2071,Pobeda Putilov Garfort (72351),1917,1923
2072,Pobeda Gazz AA Truck (72352),1917,1923
2073,Pobeda Austin Putilov S1 (72353),1917,1923
2074,Pobeda Lanchester 1918 (72354),1917,1923
2075,Pobeda Russian Civil War Trenches (72355),1917,1923
2076,Metch Armoured Car Fordson (172140),1940,1940
2077,Metch Matilda Tank (172141),1939,1955
2078,Metch Crusader Tank (172142),1941,1949
2079,BUM Condor Legion Artillery (5045),1936,1939
2080,BUM Nationalist Heavy Artillery (5046),1936,1939
2081,BUM Alcazar de Toledo Siege (5050),1936,1939
2082,BUM Siege of Toledo Alcazar (5051),1936,1939
2083,BUM Lanchester Asturias 1936 (5053),1936,1939
2084,Zvezda German Anti-Tank Gun PaK-36 with Crew (6114),1939,1945
2085,Linear-B Roman Transport (116),-50,200
2086,Strelets Mamelukes (120),1780,1807
2087,HaT Napoleonic 1815 French Marching (8294),1812,1815
2088,HaT Seven Years War Austrian Sampler (8295),1756,1763
2089,HaT Napoleonic Early-Mid French Marching (8296),1789,1813
2090,HaT Napoleonic French Command (8297),1812,1815
2091,HaT Huns (8298),300,480
2092,HaT 7YW Prussian Infantry Marching (8280),1756,1763
2093,HaT 7YW Prussian Infantry Action (8281),1756,1763
2094,HaT 7YW Prussian Infantry Command (8282),1756,1763
2095,HaT WW2 German Bicycle Infantry (8277),1939,1945
2096,HaT Colonial Ox Wagon (8286),1810,1900
2097,HaT Colonial General Service Wagon (8287),1875,1890
2098,HaT Colonial British Dragoons (8288),1878,1898
2099,HaT Colonial Bengal Lancers (8289),1864,1910
2100,HaT WWI German Jäger Bicyclists (8276),1914,1916
2101,HaT WWI Belgian Heavy Weapons (8291),1914,1915
2102,HaT British Infantry (Early) (8292),1908,1915
2103,HaT British Infantry (Tropical) (8293),1914,1918
2104,Strelets French Line Infantry in Egypt (M068),1798,1801
2105,Strelets French Light Infantry in Egypt (M069),1798,1801
2106,Strelets British Line Infantry in Egypt (M070),1798,1801
2107,Strelets British Light Infantry in Egypt (M071),1801,1801
2108,Strelets Regular Cavalry RKKA (125),1939,1941
2109,Strelets Crusader Transport 1 (126),1100,1200
2110,Strelets French Hussars in Egypt (118),1798,1801
2111,Strelets British Cavalry (Egypt) (119),1798,1801
2112,Mars Ukrainian Defenders (72138),2022,2023
2113,Strelets 1745 British Artillery (284),1745,1746
2114,Strelets German States' Cuirassiers in Skirmish (268),1701,1713
2115,BUM Huron's River (2008),1755,1763
2116,Zvezda Soviet 45-mm Anti-Tank Gun with Crew (6112),1941,1945
2117,Mars Spanish Tertio (72042),1618,1648
2118,Ykreol WWII German Staff 1939-45 (YK16),1939,1945
2119,Metch Japanese Daihatsu Landing Craft (172172),1937,1945
2120,Metch T-40 Fuel Truck (172138),1935,1945
2121,Caesar British Army (H060),2004,2010
2122,Caesar WWII Late War German Army (H074),1944,1945
2123,Caesar WWII Italian Paratroopers (H075),1940,1943
2124,Caesar German Army with Camouflage Cape (HB04),1942,1945
2127,Strelets Moroccan Goumiers (M151),1943,1954
2128,Ultima Ratio WWII Soviet Mountain Troops (UR004),1941,1945
2129,BUM Western Fort Stable (2113),1865,1895
2130,Waterloo 1815 French Line Voltigeurs at Waterloo (062),1812,1815
2131,Waterloo 1815 1815 French Line Infantry Fusiliers Marching (061),1812,1815
2132,Waterloo 1815 Prussian Officers & High Staff 1813-15 (058),1813,1815
2133,Mars Swedish Infantry (72094),1600,1625
2134,Metch Operation Jubilee - Dieppe (172143),1942,1942
2135,"Metch Operation Deathstick, D-Day (172148)",1944,1944
2136,"Metch Arnhem, Bridge House (172150)",1944,1944
2137,Mars Polish Siege Bombard (72062),1400,1450
2138,Mars French Dismounted Dragoons (72078),1635,1648
2139,First To Fight Pak 36 German Antitank Gun (PL1939-022),1939,1939
2140,Strelets Early WWII American Soldiers 2 (M113),1941,1943
2141,Strelets WWII Japanese Troops in Tropical Uniform (M114),1932,1945
2142,RedBox Russian War Monks (72086),1501,1699
2143,RedBox Russian War Monk Artillery (72087),1501,1699
2144,RedBox Osman Eyalet Infantry 16-17th Century (72088),1501,1699
2145,RedBox Osman Yeniceri Infantry 16-17th Century (72089),1501,1699
2146,Caesar WWII German Infantry Marching (H081),1935,1945
2147,Caesar WWII German Infantry in Smocks - Winter (H083),1939,1945
2148,Caesar WWII German Artillery/Howitzer Crews (H084),1939,1945
2149,Caesar WWII German Panzer Unit in Combat (H085),1939,1945
2150,Caesar WWII German Anti-aircraft Crews (H089),1939,1945
2151,Ultima Ratio Soviet Motorized Infantry Spetsnaz (UR002),1979,1989
2152,"RedBox European Light Cavalry, 16th Century Set 2 (72085)",1501,1599
2154,First To Fight German 7.5 cm LE.IG Infantry Gun (PL1939-031),1939,1945
2155,Zvezda Soviet 37 mm Anti-aircraft Gun 61-K (6115),1939,1945
2156,Hasegawa 88mm Gun Flak 18 (31110),1939,1945
2157,Hasegawa 88mm Gun Flak 36 (31138),1939,1945
2158,Hasegawa U.S. Jeep Willys M.B. Cargo 37mm Gun (31101),1941,1945
2159,Revell Soviet Spetsnaz (1980) (02533),1975,1985
2160,Linear-B Roman Market (072),-100,200
2161,Linear-B Spartacus Uprising (073),-73,-71
2162,Italeri Japanese M92 Light Howitzer and AT Team (6164),1937,1945
2163,Italeri Cannone da 149/40 with Crew (6165),1940,1945
2164,Revell WWII Japanese Infantry (02528),1937,1945
2165,Revell WWII ANZAC Infantry (02529),1942,1945
2166,Caesar US Paratroopers (H076),1942,1944
2167,Mars Teutonic Foot Sergeants (72052),1400,1450
2168,Mars Teutonic Mounted Sergeants (72053),1420,1450
2169,Mars Teutonic Mounted Crossbowmen (72054),1401,1450
2170,HaT Napoleonic Prussian Infantry Sampler (8329),1808,1815
2171,Linear-A The Folk of Judea (001),-100,100
2172,HaT Napoleonic Mounted Officers (8279),1800,1815
2173,Linear-B Roman Port (002),-500,500
2174,BUM St.Francis Settlement (2013),1756,1763
2175,Linear-B Roman Tavern (003),1,1
2176,Strelets Spartacus Army (M077),-73,-71
2177,Strelets Roman Republican Legion on the March (M078),-100,-100
2178,Strelets Roman Republican Legion in Battle (M079),-100,-100
2179,Strelets Roman Republican Legion Before Battle (M080),-150,-30
2180,Strelets Italian Army in Winter Dress (Stalingrad) (M082),1942,1942
2181,Strelets Hungarian Army in Winter Dress (Stalingrad) (M083),1942,1942
2182,Strelets Crusader Transport 2 (127),1100,1200
2183,Revell WWII British Commandos (02530),1940,1945
2184,Revell NATO Pilots (Modern) (02402),2000,2012
2185,Zvezda British Infantry (6166),1939,1942
2186,Zvezda British Machine Gun Crew (6167),1939,1942
2187,Zvezda British 3 Inch Mortar with Crew (6168),1939,1941
2188,First To Fight German Infantry Support Weapons (PL1939-020),1939,1940
2189,Zvezda German Elite Troops (6180),1941,1943
2190,Zvezda German Medical Personnel (6143),1939,1945
2191,Zvezda German Regular Infantry (6178),1939,1943
2192,Zvezda Soviet Medical Personnel (6152),1941,1945
2193,Zvezda Soviet Militia (6181),1941,1941
2194,Zvezda Soviet Regular Infantry (6179),1941,1942
2195,Plastic Soldier Late War US Infantry (WW2020006),1944,1945
2196,RedBox Town & County Levy (72041),1450,1485
2197,Linear-B Roman Legion on the March (007),10,100
2208,Strelets Norman Train (128),1050,1150
2209,Strelets Soviet Partisans in Winter Dress (M084),1941,1945
2210,Strelets Soviet Partisans in Summer Dress (M085),1941,1944
2211,Strelets Police Battalion (M086),1941,1945
2212,Valiant German Paratroops (VM006),1940,1945
2213,BUM French-Indian War Frontier Post (2012),1754,1763
2214,Zvezda Ashigaru Archers (6414),1600,1600
2215,Zvezda Peasants with Ammo Supply (6415),1600,1600
2216,Zvezda Mounted Samurai Archers (6416),1600,1600
2217,Strelets Japanese Imperial Airborne Troops (M104),1942,1945
2218,Zvezda French Line Infantry (6802),1812,1815
2219,Strelets WWII Union of South Africa (M103),1940,1941
2220,Strelets 8th Army Australian Infantry in Attack (M155),1941,1943
2221,Strelets Caesar Army on the March (M087),-40,-30
2222,Strelets Caesar Army Before Battle (M088),-60,-45
2223,Strelets Caesar Army in Battle I (M089),-60,-45
2224,Strelets French Foreign Legion Heavy Weapons Squad (M152),1940,1943
2225,Pobeda Izhorsk Plant Tank (72332),1940,1945
2226,Pobeda T-34 Bunker Moscow Front (72333),1941,1944
2227,Pobeda Voroshilovets Tractor (72334),1930,1945
2228,Pobeda T-40 Light Amphibious Tank (72335),1941,1946
2229,Pobeda Dovunque-35 &105 Russian Front (72340),1941,1945
2230,Pobeda OT-133 Flamethrower (72336),1939,1945
2231,Pobeda Berlin Panther Ostwallturm (72510),1944,1945
2232,MM Swiss Vatican Guard (001),1914,2012
